ve_ref,token_w_punct,token,lemma,syntax,modern_english,morphology
1835.t3,þǣr,þǣr,þær,c,if,indeclinable
1835.t4,ðē,ðē,þu,p,you,ds
1835.t5,bið,bið,beon,v,be,pr3s
1835.t6,manna,manna,monn,m,man,gp
1835.t7,þearf.,þearf,þearf,f,need,ns
1836.t1,Gif,Gif,gif,c,if,indeclinable
1836.t2,him,him,he,p,himself,dsm
1836.t3,þonne,þonne,þonne,av,then,indeclinable
1836.t4,Hrēþrīc,Hrēþrīc,Hreðric,np,Hrethric,ns
1836.t5,tō,tō,to,pp,to,indeclinable
1836.t6,hofum,hofum,hof,n,dwelling,dp
1836.t7,Gēata,Gēata,Geatas,np,Geats,gp
1837.t1,geþingeð,geþingeð,geþingian,v,determine (to go),pr3s
1837.t2,þēodnes,þēodnes,þeoden,m,lord,gs
1837.t3,"bearn,",bearn,bearn,n,son,ns
1837.t4,hē,hē,he,p,he,nsm
1837.t5,mæġ,mæġ,magan,v,can,pr3s
1837.t6,þǣr,þǣr,þær,av,there,indeclinable
1837.t7,fela,fela,fela,n,many,in
1838.t1,frēonda,frēonda,freond,m,friend,gp
1838.t2,findan;,findan,findan,v,find,i
1838.t3,feorcȳþðe,feorcȳþðe,feor-cyððu,f,far country,np
1838.t4,bēoð,bēoð,beon,v,be,pr3p
1839.t1,sēlran,sēlran,selra,a,better,npfc
1839.t2,ġesōhte,ġesōhte,gesecan,v,seek,ppnpf
1839.t3,þǣm,þǣm,se,d,he,dsm
1839.t4,þe,þe,þe,r,who,in
1839.t5,him,him,he,p,himself,dsm
1839.t6,selfa,selfa,self,p,self,nsm
1839.t7,dēah.’,dēah,dugan,v,be good,pr3s
1840.t1,Hrōðgār,Hrōðgār,Hroðgar,np,Hrothgar,ns
1840.t2,maþelode,maþelode,maþelian,v,speak,p3s
1840.t3,him,him,he,p,he,dsm
1840.t4,on,on,on,pp,in,indeclinable
1840.t5,andsware:,andsware,andswaru,f,answer,as
1841.t1,Þē,Þē,þu,p,you,ds
1841.t2,þā,þā,se,d,that,apm
1841.t3,wordcwydas,wordcwydas,word-cwide,m,word,ap
1841.t4,wigtig,wigtig,witig,a,wise,dsm
1841.t5,drihten,drihten,dryhten,m,Lord,ns
1842.t1,on,on,on,pp,into,indeclinable
1842.t2,sefan,sefan,sefa,m,mind,as
1842.t3,sende;,sende,sendan,v,send,p3s
1842.t4,ne,ne,ne,av,not,indeclinable
1842.t5,hȳrde,hȳrde,hyran,v,hear,p1s
1842.t6,ic,ic,ic,p,I,ns
1842.t7,snotorlīcor,snotorlīcor,snotorlice,av,wisely,c
1843.t1,on,on,on,pp,in,indeclinable
1843.t2,swā,swā,swa,av,so,indeclinable
1843.t3,geongum,geongum,geong,a,young,dsm
1843.t4,feore,feore,feorh,m,life,ds
1843.t5,guman,guman,guma,m,man,as
1843.t6,þingian.,þingian,þingian,v,make arrangements,i
1844.t1,Þū,Þū,þu,p,you,ns
1844.t2,eart,eart,beon,v,be,pr2s
1844.t3,mægenes,mægenes,mægen,n,strength,gs
1844.t4,strang,strang,strang,a,powerful,nsm
1844.t5,ond,ond,ond,c,and,indeclinable
1844.t6,on,on,on,pp,in,indeclinable
1844.t7,mōde,mōde,mod,n,mind,ds
1844.t8,"frōd,",frōd,frod,a,prudent,nsm
1845.t1,wīs,wīs,wis,a,wise,nsm
1845.t2,wordcwida.,wordcwida,word-cwide,m,word,gp
1845.t3,Wēn,Wēn,wen,f,likely thing,as
1845.t4,ic,ic,ic,p,I,ns
1845.t5,"talige,",talige,talian,v,consider,pr1s
1846.t1,gif,gif,gif,c,if,indeclinable
1846.t2,þæt,þæt,þæt,d,that,nsn
1846.t3,gegangeð,gegangeð,gegangan,v,come to pass,pr3s
1846.t4,þæt ðe,þæt ðe,þætte,c,that,indeclinable
1846.t5,gār,gār,gar,m,spear,ns
1846.t6,"nymeð,",nymeð,niman,v,take,pr3s
1847.t1,hild,hild,hild,f,war,ns
1847.t2,heorugrimme,heorugrimme,heoro-grimm,a,fierce,nsf
1847.t3,Hrēþles,Hrēþles,Hreþel,np,Hrethel,gs
1847.t4,"eaferan,",eaferan,eafora,m,son,as
1848.t1,ādl,ādl,adl,f,sickness,ns
1848.t2,oþðe,oþðe,oððe,c,or,indeclinable
1848.t3,īren,īren,iren,n,iron sword,ns
1848.t4,ealdor,ealdor,ealdor,m,chief,as
1848.t5,"ðīnne,",ðīnne,þin,p,your,asm
1849.t1,folces,folces,folc,n,people,gs
1849.t2,"hyrde,",hyrde,hyrde,m,guardian,as
1849.t3,ond,ond,ond,c,and,indeclinable
1849.t4,þū,þū,þu,p,you,ns
1849.t5,þīn,þīn,þin,p,your,asn
1849.t6,feorh,feorh,feorh,n,life,as
1849.t7,"hafast,",hafast,habban,v,have,pr2s
1850.t1,þæt þe,þæt þe,þætte,c,that,indeclinable
1850.t2,Sǣ-Ġēatas,Sǣ-Ġēatas,Sæ-Geatas,np,Sea-Geats,np
1850.t3,sēlran,sēlran,selra,a,better,asmc
1850.t4,næbben,næbben,ne habban,v,have not,prc3p
1851.t1,tō,tō,to,pp,to,indeclinable
1851.t2,gecēosenne,gecēosenne,geceosan,v,choose,if
1851.t3,cyning,cyning,cyning,m,king,as
1851.t4,"ǣnigne,",ǣnigne,ænig,p,any,asm
1852.t1,hordweard,hordweard,hord-weard,m,guardian of treasure,as
1852.t2,"hæleþa,",hæleþa,hæle,m,man,gp
1852.t3,gyf,gyf,gif,c,if,indeclinable
1852.t4,þū,þū,þu,p,you,ns
1852.t5,healdan,healdan,healdan,v,hold,i
1852.t6,wylt,wylt,willan,v,wish,pr2s
1853.t1,māga,māga,mæg,m,kinsman,gp
1853.t2,rīce.,rīce,rice,n,kingdom,as
1853.t3,Mē,Mē,ic,p,I,ds
1853.t4,þīn,þīn,þin,p,your,nsm
1853.t5,mōdsefa,mōdsefa,mod-sefa,m,character,ns
1854.t1,līcað,līcað,lician,v,please,pr3s
1854.t2,leng,leng,longe,av,longer,c
1854.t3,swā,swā,swa,av,so,indeclinable
1854.t4,"wēl,",wēl,wel,av,well (?leng swa wel=more and more),indeclinable
1854.t5,lēofa,lēofa,leof,a,beloved,nsm
1854.t6,Bēowulf.,Bēowulf,Beowulf,np,Beowulf,ns
1855.t1,Hafast,Hafast,habban,v,have,pr2s
1855.t2,þū,þū,þu,p,you,ns
1855.t3,gefēred,gefēred,geferan,v,bring about,pp
1855.t4,þæt,þæt,þæt,c,that,indeclinable
1855.t5,þām,þām,þæt,d,the,dpn
1855.t6,folcum,folcum,folc,n,people,dp
1855.t7,"sceal,",sceal,sculan,v,"(future, 'be' underst.)",pr3s
1856.t1,Ġēata,Ġēata,Geatas,np,Geats,gp
1856.t2,lēodum,lēodum,leod,m,man,dp
1856.t3,ond,ond,ond,c,and,indeclinable
1856.t4,Gār-Denum,Gār-Denum,Gar-Dene,np,Spear-Danes,dp
1857.t1,sib,sib,sibb,f,peace,ns
1857.t2,"ġemǣnu,",ġemǣnu,gemæne,a,shared,nsf
1857.t3,ond,ond,ond,c,and,indeclinable
1857.t4,sacu,sacu,sacu,f,conflict,ns
1857.t5,"restan,",restan,restan,v,rest,i
1858.t1,inwitnīþas,inwitnīþas,inwit-nið,m,hostile act,np
1858.t2,þē,þē,þe,r,which,in
1858.t3,hīe,hīe,hie,p,they,np
1858.t4,ǣr,ǣr,ær,av,before,indeclinable
1858.t5,"drugon,",drugon,dreogan,v,practise,p3p
1859.t1,"wesan,",wesan,wesan,v,be,i
1859.t2,þenden,þenden,þenden,c,while,indeclinable
1859.t3,ic,ic,ic,p,I,ns
1859.t4,wealde,wealde,wealdan,v,rule,pr1s
1859.t5,wīdan,wīdan,wid,a,wide,gsn
1859.t6,"rīces,",rīces,rice,n,kingdom,gs
1860.t1,māþmas,māþmas,maððum,m,treasure,np
1860.t2,"gemǣne,",gemǣne,gemæne,a,shared,npm
1860.t3,manig,manig,monig,a,many,nsm
1860.t4,ōþerne,ōþerne,oþer,a,other,asm
1861.t1,gōdum,gōdum,god,n,gift,dp
1861.t2,gegrētan,gegrētan,gegretan,v,greet,i
1861.t3,ofer,ofer,ofer,pp,across,indeclinable
1861.t4,ganotes,ganotes,ganot,m,gannet,gs
1861.t5,bæð;,bæð,bæð,n,bath,as
1862.t1,sceal,sceal,sculan,v,(future),pr3s
1862.t2,hringnaca,hringnaca,hring-naca,m,ring-prowed ship,ns
1862.t3,ofer,ofer,ofer,pp,across,indeclinable
1862.t4,heafu,heafu,hæf,n,sea,ap
1862.t5,bringan,bringan,bringan,v,bring,i
1863.t1,lāc,lāc,lac,n,gift,ap
1863.t2,ond,ond,ond,c,and,indeclinable
1863.t3,luftācen.,luftācen,luf-tacen,n,token of love,ap
1863.t4,Ic,Ic,ic,p,I,ns
1863.t5,þā,þā,se,d,that,apm
1863.t6,lēode,lēode,leod,m,man,ap
1863.t7,wāt,wāt,witan,v,know,pr1s
1864.t1,gē,gē,ge,c,both,indeclinable
1864.t2,wið,wið,wið,pp,towards,indeclinable
1864.t3,fēond,fēond,feond,m,foe,as
1864.t4,gē,gē,ge,c,and,indeclinable
1864.t5,wið,wið,wið,pp,towards,indeclinable
1864.t6,frēond,frēond,freond,m,friend,as
1864.t7,fæste,fæste,fæste,av,firmly,indeclinable
1864.t8,"geworhte,",geworhte,gewyrcan,v,dispose,ppapm
1865.t1,ǣghwæs,ǣghwæs,æghwæt,p,everything,gsn
1865.t2,untǣle,untǣle,untæle,a,blameless,apm
1865.t3,ealde,ealde,eald,a,ancient,asf
1865.t4,wīsan.’,wīsan,wise,f,(in) way,as
1866.t1,Ðā,Ðā,þa,av,then,indeclinable
1866.t2,gīt,gīt,gyt,av,furthermore,indeclinable
1866.t3,him,him,he,p,he,dsm
1866.t4,eorla,eorla,eorl,m,warrior,gp
1866.t5,hlēo,hlēo,hleo,m,protection,ns
1866.t6,inne,inne,inne,av,within,indeclinable
1866.t7,"gesealde,",gesealde,gesellan,v,give,p3s
1867.t1,mago,mago,mago,m,son,ns
1867.t2,"Healfdenes,",Healfdenes,Healfdene,np,Healfdene,gs
1867.t3,māþmas,māþmas,maððum,m,treasure,ap
1867.t4,twelfe;,twelfe,twelf,nu,twelve,apm
1868.t1,hēt,hēt,hatan,v,order,p3s
1868.t2,hine,hine,he,p,he,asm
1868.t3,mid,mid,mid,pp,with,indeclinable
1868.t4,þǣm,þǣm,þæt,d,the,dpn
1868.t5,lācum,lācum,lac,n,gift,dp
1868.t6,lēode,lēode,leod,m,man,ap
1868.t7,swǣse,swǣse,swæs,a,dear,apm
1869.t1,sēcean,sēcean,secan,v,seek out,i
1869.t2,on,on,on,pp,in,indeclinable
1869.t3,"gesyntum,",gesyntum,gesynto,f,safety,dp
1869.t4,snūde,snūde,snude,av,quickly,indeclinable
1869.t5,eft,eft,eft,av,back,indeclinable
1869.t6,cuman.,cuman,cuman,v,come,i
1870.t1,Gecyste,Gecyste,gecyssan,v,kiss,p3s
1870.t2,þā,þā,þa,av,then,indeclinable
1870.t3,cyning,cyning,cyning,m,king,ns
1870.t4,æþelum,æþelum,æþelu,n,lineage,dp
1870.t5,"gōd,",gōd,god,a,good,nsm
1871.t1,þēoden,þēoden,þeoden,m,lord,ns
1871.t2,Scyldinga,Scyldinga,Scyldingas,np,Scyldings,gp
1871.t3,ðeġn,ðeġn,þegn,m,retainer,as
1871.t4,betestan,betestan,betst,a,best,asms
1872.t1,ond,ond,ond,c,and,indeclinable
1872.t2,be,be,be,pp,by,indeclinable
1872.t3,healse,healse,heals,m,neck,ds
1872.t4,genam;,genam,geniman,v,clasp,p3s
1872.t5,hruron,hruron,hreosan,v,fall,p3p
1872.t6,him,him,he,p,he,dsm
1872.t7,tēaras,tēaras,tear,m,tear,np
1873.t1,blondenfeaxum.,blondenfeaxum,blanden-feax,a,grey-haired,dsm
1873.t2,Him,Him,he,p,he,dsm
1873.t3,wæs,wæs,wesan,v,be,p3s
1873.t4,bēga,bēga,begen,nu,both,gpn
1873.t5,wēn,wēn,wen,f,expectation,ns
1874.t1,ealdum,ealdum,eald,a,old,dsm
1874.t2,"infrōdum,",infrōdum,infrod,a,very wise,dsm
1874.t3,ōþres,ōþres,oþer,a,second,gsn
1874.t4,"swīðor,",swīðor,swiðe,av,more especially,c
1875.t1,þæt,þæt,þæt,c,that,indeclinable
1875.t2,hīe,hīe,hie,p,they (=each other),apm
1875.t3,seoððan,seoððan,siððan,av,then,indeclinable
1875.t4,nō,nō,no,av,not at all,indeclinable
1875.t5,gesēon,gesēon,geseon,v,see,i
1875.t6,"mōston,",mōston,motan,v,might,pc3p
1876.t1,mōdige,mōdige,modig,a,courageous,npm
1876.t2,on,on,on,pp,in,indeclinable
1876.t3,meþle.,meþle,meþel,n,council,ds
1876.t4,Wæs,Wæs,wesan,v,be,p3s
1876.t5,him,him,he,p,he,dsm
1876.t6,se,se,se,d,the,nsm
1876.t7,man,man,monn,m,man,ns
1876.t8,tō,tō,to,pp,to,indeclinable
1876.t9,þon,þon,þæt,d,that (degree),isn
1876.t10,lēof,lēof,leof,a,dear,nsm
1877.t1,þæt,þæt,þæt,c,that,indeclinable
1877.t2,hē,hē,he,p,he,nsm
1877.t3,þone,þone,se,d,the,asm
1877.t4,brēostwylm,brēostwylm,breost-wylm,m,breast's surging,as
1877.t5,forberan,forberan,forberan,v,restrain,i
1877.t6,ne,ne,ne,av,not,indeclinable
1877.t7,"mehte,",mehte,magan,v,could,p3s
1878.t1,ac,ac,ac,c,but,indeclinable
1878.t2,him,him,he,p,he,dsm
1878.t3,on,on,on,pp,in,indeclinable
1878.t4,hreþre,hreþre,hreðer,n,breast,ds
1878.t5,hygebendum,hygebendum,hige-bend,f,mind's bond,dp
1878.t6,fæst,fæst,fæst,a,fast,nsm
1879.t1,æfter,æfter,æfter,pp,for,indeclinable
1879.t2,dēorum,dēorum,deore,a,dear,dsm
1879.t3,men,men,monn,m,man,ds
1879.t4,dyrne,dyrne,dyrne,a,secret,nsm
1879.t5,langað,langað,longaþ,m,longing,ns
1880.t1,born,born,byrnan,v,burn,p3s
1880.t2,wið,wið,wið,pp,within,indeclinable
1880.t3,blōde.,blōde,blod,n,blood,ds
1880.t4,Him,Him,he,p,himself,dsm
1880.t5,Bēowulf,Bēowulf,Beowulf,np,Beowulf,ns
1880.t6,"þanan,",þanan,þonan,av,thence,indeclinable
1881.t1,gūðrinc,gūðrinc,guð-rinc,m,warrior,ns
1881.t2,goldwlanc,goldwlanc,gold-wlonc,a,splendidly decked in gold,nsm
1881.t3,græsmoldan,græsmoldan,græs-molde,f,grassy land,as
1881.t4,træd,træd,tredan,v,tread,p3s
1882.t1,since,since,sinc,n,treasure,ds
1882.t2,hrēmig;,hrēmig,hremig,a,exalting,nsm
1882.t3,sǣgenga,sǣgenga,sæ-genga,m,sea-goer,ns
1882.t4,bād,bād,bidan,v,await,p3s
1883.t1,"āgendfrean,",āgendfrean,agend-frea,m,owner,gs
1883.t2,sē,sē,se,d,that,nsm
1883.t3,þe,þe,þe,r,which,in
1883.t4,on,on,on,pp,at,indeclinable
1883.t5,ancre,ancre,ancor,m,anchor,ds
1883.t6,rād.,rād,ridan,v,ride,p3s
1884.t1,Þā,Þā,þa,av,then,indeclinable
1884.t2,wæs,wæs,wesan,v,be,p3s
1884.t3,on,on,on,pp,in,indeclinable
1884.t4,gange,gange,gang,m,going,ds
1884.t5,gifu,gifu,gifu,f,gift,ns
1884.t6,Hrōðgāres,Hrōðgāres,Hroðgar,np,Hrothgar,gs
1885.t1,oft,oft,oft,av,often,indeclinable
1885.t2,geæhted;,geæhted,eahtian,v,praise,pp
1885.t3,þæt,þæt,þæt,d,that,nsn
1885.t4,wæs,wæs,wesan,v,be,p3s
1885.t5,ān,ān,an,a,peerless,nsm
1885.t6,cyning,cyning,cyning,m,king,ns
1886.t1,ǣghwæs,ǣghwæs,æghwæt,p,everything,gsn
1886.t2,"orleahtre,",orleahtre,orleahtre,a,blameless,nsm
1886.t3,oþ þæt,oþ þæt,oð þæt,c,until,indeclinable
1886.t4,hine,hine,he,p,he,asm
1886.t5,yldo,yldo,yldo,f,old age,ns
1886.t6,benam,benam,beniman,v,deprive of,p3s
1887.t1,mægenes,mægenes,mægen,n,strength,gs
1887.t2,"wynnum,",wynnum,wynn,f,joy,dp
1887.t3,sē,sē,se,d,that,nsm
1887.t4,þe,þe,þe,r,which,in
1887.t5,oft,oft,oft,av,often,indeclinable
1887.t6,manegum,manegum,monig,a,many,dsm
1887.t7,scōd.,scōd,sceððan,v,harm,p3s
1888.t1,Cwōm,Cwōm,cuman,v,come,p3s
1888.t2,þā,þā,þa,av,then,indeclinable
1888.t3,tō,tō,to,pp,to,indeclinable
1888.t4,flōde,flōde,flod,m,flood,ds
1888.t5,"felamōdigra,",felamōdigra,fela-modig,a,very bold,gpm
1889.t1,hægstealdra,hægstealdra,hægsteald,a,young,gpm
1889.t2,"hēap,",hēap,heap,m,troop,ns
1889.t3,hringnet,hringnet,hring-net,n,ring-net,ap
1889.t4,"bǣron,",bǣron,beran,v,wear,p3p
1890.t1,locene,locene,lucan,v,interlink,ppapf
1890.t2,leoðosyrcan.,leoðosyrcan,leoðo-syrce,f,coat of mail,ap
1890.t3,Landweard,Landweard,land-weard,m,shore-guard,ns
1890.t4,onfand,onfand,onfindan,v,perceive,p3s
1891.t1,eftsīð,eftsīð,eft-sið,m,journey back,as
1891.t2,"eorla,",eorla,eorl,m,warrior,gp
1891.t3,swā,swā,swa,c,as,indeclinable
1891.t4,hē,hē,he,p,he,nsm
1891.t5,ǣr,ǣr,ær,av,before,indeclinable
1891.t6,dyde;,dyde,don,v,do,p3s
1892.t1,nō,nō,no,av,not at all,indeclinable
1892.t2,hē,hē,he,p,he,nsm
1892.t3,mid,mid,mid,pp,with,indeclinable
1892.t4,hearme,hearme,hearm,m,insult,ds
1892.t5,of,of,of,pp,from,indeclinable
1892.t6,hliðes,hliðes,hlið,n,cliff,gs
1892.t7,nōsan,nōsan,nose,f,cape,ds
1893.t1,gæstas,gæstas,gist,m,stranger,as
1893.t2,"grētte,",grētte,gretan,v,address,p3s
1893.t3,ac,ac,ac,c,but,indeclinable
1893.t4,him,him,hie,p,they,dpm
1893.t5,tōġēanes,tōġēanes,togeanes,pp,towards,indeclinable
1893.t6,"rād,",rād,ridan,v,ride,p3s
1894.t1,cwæð,cwæð,cweðan,v,say,p3s
1894.t2,þæt,þæt,þæt,c,that,indeclinable
1894.t3,wilcuman,wilcuman,wil-cuma,m,welcome person,np
1894.t4,Wedera,Wedera,Wederas,np,Weders,gp
1894.t5,lēodum,lēodum,leod,m,man,dp
1895.t1,scaþan,scaþan,sceaða,m,warrior,np
1895.t2,scīrhame,scīrhame,scir-ham,a,in bright armour,npm
1895.t3,tō,tō,to,pp,to,indeclinable
1895.t4,scipe,scipe,scip,n,ship,ds
1895.t5,fōron.,fōron,faran,v,go,p3p
1896.t1,Þā,Þā,þa,av,then,indeclinable
1896.t2,wæs,wæs,wesan,v,be,p3s
1896.t3,on,on,on,pp,on,indeclinable
1896.t4,sande,sande,sand,n,beach,ds
1896.t5,sǣġēap,sǣġēap,sæ-geap,a,spacious,nsm
1896.t6,naca,naca,naca,m,ship,ns
1897.t1,hladen,hladen,hladan,v,load,pp
1897.t2,"herewǣdum,",herewǣdum,here-wæd,f,battle-dress,dp
1897.t3,hringedstefna,hringedstefna,hringed-stefna,m,ring-prowed ship,ns
1898.t1,mēarum,mēarum,mearh,m,horse,dp
1898.t2,ond,ond,ond,c,and,indeclinable
1898.t3,māðmum;,māðmum,maððum,m,treasure,dp
1898.t4,mæst,mæst,mæst,m,mast,ns
1898.t5,hlīfade,hlīfade,hlifian,v,tower,p3s
1899.t1,ofer,ofer,ofer,pp,over,indeclinable
1899.t2,Hrōðgāres,Hrōðgāres,Hroðgar,np,Hrothgar,gs
1899.t3,hordgestrēonum.,hordgestrēonum,hord-gestreon,n,hoarded treasure,dp
1900.t1,Hē,Hē,he,p,he,nsm
1900.t2,þǣm,þǣm,se,d,the,dsm
1900.t3,bātwearde,bātwearde,bat-weard,m,boat-guard,ds
1900.t4,bunden,bunden,bindan,v,bind,ppasn
1900.t5,golde,golde,gold,n,gold,ds
1901.t1,swurd,swurd,sweord,n,sword,as
1901.t2,"gesealde,",gesealde,gesellan,v,give,p3s
1901.t3,þæt,þæt,þæt,c,so that,indeclinable
1901.t4,hē,hē,he,p,he,nsm
1901.t5,syðþan,syðþan,siððan,av,afterwards,indeclinable
1901.t6,wæs,wæs,wesan,v,be,p3s
1902.t1,on,on,on,pp,on,indeclinable
1902.t2,meodubence,meodubence,medu-benc,f,mead-bench,ds
1902.t3,māþme,māþme,maððum,m,treasure,ds
1902.t4,þȳ,þȳ,þæt,d,(because of) that,isn
1902.t5,"weorþra,",weorþra,weorð,a,honoured,nsmc
1903.t1,yrfelāfe.,yrfelāfe,yrfe-laf,f,heirloom,ds
1903.t2,Gewāt,Gewāt,gewitan,v,go,p3s
1903.t3,him,him,he,p,itself,dsm
1903.t4,on,on,on,av,on,indeclinable
1903.t5,naca,naca,naca,m,ship,ns
1904.t1,drēfan,drēfan,drefan,v,stir up,i
1904.t2,dēop,dēop,deop,a,deep,asn
1904.t3,"wæter,",wæter,wæter,n,water,as
1904.t4,Dena,Dena,Dene,np,Danes,gp
1904.t5,land,land,land,n,land,as
1904.t6,ofgeaf.,ofgeaf,ofgifan,v,leave,p3s
1905.t1,Þā,Þā,þa,av,then,indeclinable
1905.t2,wæs,wæs,wesan,v,be,p3s
1905.t3,be,be,be,pp,at,indeclinable
1905.t4,mæste,mæste,mæst,m,mast,ds
1905.t5,merehrægla,merehrægla,mere-hrægl,n,sea-garment,gp
1905.t6,"sum,",sum,sum,p,one,nsn
1906.t1,segl,segl,segl,m,sail,ns
1906.t2,sāle,sāle,sal,m,rope,ds
1906.t3,fæst;,fæst,fæst,a,fast,nsm
1906.t4,sundwudu,sundwudu,sund-wudu,m,sea-wood,ns
1906.t5,þunede;,þunede,þunian,v,creak,p3s
1907.t1,nō,nō,no,av,not at all,indeclinable
1907.t2,þǣr,þǣr,þær,av,there,indeclinable
1907.t3,wēgflotan,wēgflotan,wæg-flota,m,wave-floater,as
1907.t4,wind,wind,wind,m,wind,ns
1907.t5,ofer,ofer,ofer,pp,over,indeclinable
1907.t6,ȳðum,ȳðum,yð,f,wave,dp
1908.t1,sīðes,sīðes,sið,m,journey,gs
1908.t2,getwǣfde;,getwǣfde,getwæfan,v,hinder,p3s
1908.t3,sǣgenga,sǣgenga,sæ-genga,m,sea-goer,ns
1908.t4,"fōr,",fōr,faran,v,go,p3s
1909.t1,flēat,flēat,fleotan,v,float,p3s
1909.t2,fāmigheals,fāmigheals,famig-heals,a,foamy-necked,nsm
1909.t3,forð,forð,forð,av,forth,indeclinable
1909.t4,ofer,ofer,ofer,pp,over,indeclinable
1909.t5,"ȳðe,",ȳðe,yð,f,wave,ap
1910.t1,bundenstefna,bundenstefna,bunden-stefna,m,ship with bound prow,ns
1910.t2,ofer,ofer,ofer,pp,over,indeclinable
1910.t3,"brimstrēamas,",brimstrēamas,brim-stream,m,sea-current,ap
1911.t1,þæt,þæt,þæt,c,until,indeclinable
1911.t2,hīe,hīe,hie,p,they,npm
1911.t3,Gēata,Gēata,Geatas,np,Geats,gp
1911.t4,clifu,clifu,clif,n,cliff,ap
1911.t5,ongitan,ongitan,ongitan,v,see,i
1911.t6,"meahton,",meahton,magan,v,can,p3p
1912.t1,cūþe,cūþe,cuð,a,known,apm
1912.t2,næssas;,næssas,næss,m,headland,ap
1912.t3,cēol,cēol,ceol,m,ship,ns
1912.t4,ūp,ūp,up,av,up,indeclinable
1912.t5,"geþrang,",geþrang,geþringan,v,press,p3s
1913.t1,lyftgeswenced,lyftgeswenced,lyft-geswenced,a,weather-beaten,nsm
1913.t2,on,on,on,pp,on,indeclinable
1913.t3,lande,lande,land,n,shore,ds
1913.t4,stōd.,stōd,standan,v,stand,p3s
1914.t1,Hreþe,Hreþe,hraðe,av,quickly,indeclinable
1914.t2,wæs,wæs,wesan,v,be,p3s
1914.t3,æt,æt,æt,pp,at,indeclinable
1914.t4,holme,holme,holm,m,sea,ds
1914.t5,hȳðweard,hȳðweard,hyð-weard,m,harbour-guard,ns
1914.t6,"geara,",geara,gearo,a,ready,nsm
1915.t1,sē,sē,se,d,that,nsm
1915.t2,þe,þe,þe,r,who,in
1915.t3,ǣr,ǣr,ær,av,before,indeclinable
1915.t4,lange,lange,long,a,long,asf
1915.t5,tīd,tīd,tid,f,time,as
1915.t6,lēofra,lēofra,leof,a,dear,gpm
1915.t7,manna,manna,monn,m,man,gp
1916.t1,fūs,fūs,fus,a,eager,nsm
1916.t2,æt,æt,æt,pp,on,indeclinable
1916.t3,faroðe,faroðe,faroð,m,current,ds
1916.t4,feor,feor,feor,av,far,indeclinable
1916.t5,wlātode;,wlātode,wlatian,v,look out for,p3s
1917.t1,sǣlde,sǣlde,sælan,v,moor,p3s
1917.t2,tō,tō,to,pp,on,indeclinable
1917.t3,sande,sande,sand,n,beach,ds
1917.t4,sīdfæþme,sīdfæþme,sid-fæþme,a,broad-bosomed,asn
1917.t5,scip,scip,scip,n,ship,as
1918.t1,oncerbendum,oncerbendum,ancor-bend,f,anchor-rope,dp
1918.t2,"fæst,",fæst,fæst,a,fast,asn
1918.t3,þȳ lǣs,þȳ lǣs,þy læs,c,lest,indeclinable
1918.t4,hym,hym,he,p,he,dsm
1918.t5,ȳþa,ȳþa,yð,f,wave,gp
1918.t6,ðrym,ðrym,þrym,m,force,ns
1919.t1,wudu,wudu,wudu,m,wood,as
1919.t2,wynsuman,wynsuman,wynsum,a,fine,asm
1919.t3,forwrecan,forwrecan,forwrecan,v,drive away,i
1919.t4,meahte.,meahte,magan,v,should,pc3s
1920.t1,Hēt,Hēt,hatan,v,order,p3s
1920.t2,þā,þā,þa,av,then,indeclinable
1920.t3,ūp,ūp,up,av,up,indeclinable
1920.t4,beran,beran,beran,v,carry,i
1920.t5,æþelinga,æþelinga,æþeling,m,prince,gp
1920.t6,"gestrēon,",gestrēon,gestreon,n,treasure,as
1921.t1,frætwe,frætwe,frætwe,f,ornament,ap
1921.t2,ond,ond,ond,c,and,indeclinable
1921.t3,fǣtgold;,fǣtgold,fæt-gold,n,plated gold,as
1921.t4,næs,næs,ne wesan,v,be not,p3s
1921.t5,him,him,hie,p,they,dpm
1921.t6,feor,feor,feor,av,far,indeclinable
1921.t7,þanon,þanon,þonan,av,thence,indeclinable
1922.t1,tō,tō,to,pp,to,indeclinable
1922.t2,gesēcanne,gesēcanne,gesecan,v,seek,if
1922.t3,sinces,sinces,sinc,n,treasure,gs
1922.t4,"bryttan,",bryttan,brytta,m,dispenser,as
1923.t1,Higelāc,Higelāc,Hygelac,np,Hygelac,as
1923.t2,"Hrēþling,",Hrēþling,Hreþling,np,Hrethling,as
1923.t3,þǣr,þǣr,þær,c,where,indeclinable
1923.t4,æt,æt,æt,pp,in,indeclinable
1923.t5,hām,hām,ham,m,home,ds
1923.t6,wunað,wunað,wunian,v,dwell,pr3s
1924.t1,selfa,selfa,self,p,(he) self,nsm
1924.t2,mid,mid,mid,pp,with,indeclinable
1924.t3,gesīðum,gesīðum,gesið,m,companion,dp
1924.t4,sǣwealle,sǣwealle,sæ-weall,m,sea-wall,ds
1924.t5,nēah.,nēah,neah,pp,near,indeclinable
1925.t1,Bold,Bold,bold,n,building,ns
1925.t2,wæs,wæs,wesan,v,be,p3s
1925.t3,"betlīc,",betlīc,betlic,a,magnificent,nsn
1925.t4,bregorōf,bregorōf,brego-rof,a,majestic,nsm
1925.t5,"cyning,",cyning,cyning,m,king,ns
1926.t1,hēah,hēah,heah,a,high,nsm
1926.t2,on,on,on,pp,in,indeclinable
